       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order                                      Vehicle_Routes
 4_20_3_2.0_2.0     57541.4      3121     14100    40320.4       71.8616    Feasible     3612.86	16-18-8-2-5-20-4-9-17-19-15-11-3-1-7-10-12-6-14-13    | 18-8-5-2-4-20-16 | 9-17-3-11-15-19 | 10-12-7-13-1-14-6 |
 5_20_3_2.0_2.0     49617.1      3457     12320    33840.1       81.0732    Feasible     3606.63	14-19-17-6-18-1-9-16-5-10-15-3-20-11-7-8-13-4-12-2    | 6-5-17-18-19-1-9-14-16 | 3-20-11-10-15 | 8-13-4-2-7-12 |
 1_20_3_2.0_2.5     52420.9      3565     16640    32215.9       75.7997    Feasible      3606.2	5-18-8-4-6-7-16-19-17-20-13-15-14-2-1-11-10-3-9-12    | 6-18-4-8-5 | 7-19-16-17-20-13-15-14 | 10-3-11-12-2-1-9 |
 2_20_3_2.0_2.5       60208      3691     18220      38297       76.4785    Feasible     3607.14	17-19-6-16-12-14-9-1-4-10-3-7-11-18-8-15-2-5-13-20    | 17-16-12-19-14-6 | 4-18-8-1-11-7-3-10-9 | 15-2-13-20-5 |
 3_20_3_2.0_2.5     65996.6      2573     11120    52303.6       80.0791    Feasible     3606.99	8-17-12-9-16-11-13-19-1-4-15-2-3-5-6-14-18-7-20-10    | 15-4-19-13-16-1-12-9-17-11-8 | 2-5-20-6-18-14-7-10-3 |
 4_20_3_2.0_2.5     51867.3      3271     10740    37856.3       75.1939    Feasible     3613.35	18-19-4-7-20-9-1-10-12-13-3-16-5-2-14-11-8-15-6-17    | 9-19-20-7-10-1-4-18 | 14-11-2-13-16-12-3-5 | 8-15-6-17 |
 5_20_3_2.0_2.5     65329.4      2759     20020    42550.4       78.4991    Feasible      3613.2	20-18-5-15-13-2-17-14-19-9-8-11-6-7-4-3-16-1-10-12    | 9-2-14-5-18-8-13-15-17-19-20 | 6-7-4-11 | 10-1-3-12-16 |
 1_20_4_1.0_0.5     52871.9      3652     11800    37419.9       78.3148    Feasible     3608.19	9-1-13-14-4-12-6-7-3-17-10-8-18-5-20-19-11-15-2-16    | 13-14-9-4-1 | 17-3-6-7-12 | 10-18-8 | 19-5-16-11-15-2-20 |
 2_20_4_1.0_0.5     44170.8      3769     12280    28121.8       74.2284    Feasible     3611.97	18-10-20-8-11-15-6-1-13-2-17-19-14-12-16-3-9-5-4-7    | 10-20-18 | 2-11-15-1-13-6-8 | 14-19-12-17 | 7-5-4-3-9-16 |
 3_20_4_1.0_0.5     48804.1      3669     10160    34975.1       73.4301    Feasible     3622.38	19-4-6-20-1-18-11-15-17-3-13-2-10-14-12-7-5-9-16-8    | 19-4-18-6-11-20-15-1 | 3-13-17 | 10-12-14-2 | 8-5-16-7-9 |
 4_20_4_1.0_0.5     56264.1      4417     14980    36867.1       68.3491    Feasible     3615.67	3-18-16-19-20-2-13-1-7-12-6-5-17-4-11-15-9-14-8-10    | 18-3-19-20-16 | 13-1-2-6-12-7 | 17-11-15-5-4 | 14-8-10-9 |
