       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order                       Vehicle_Routes
 4_15_4_1.0_1.0     20978.7      3312      7860     9806.7       58.0652    Feasible     3619.93	14-11-4-2-6-12-15-5-8-9-10-7-13-1-3    | 14-11-4-2 | 15-12-8-5-6 | 9-7-10 | 13-1-3 |
 5_15_4_1.0_1.0     24493.5      3946      7830    12717.5       65.6415    Feasible     3621.08	6-5-14-9-2-10-8-15-1-13-3-11-12-4-7    | 5-14-6 | 2-10-9-8 | 13-11-15-1-3 | 12-4-7 |
 1_15_4_1.0_1.5     29645.1      3529      8865    17251.1       69.6386    Feasible     3625.07	6-13-4-9-2-15-10-3-11-14-12-8-1-5-7    | 6-2-13-4-9 | 14-15-11-3-10 | 1-12-8 | 5-7 |
 2_15_4_1.0_1.5     28500.9      4036      7935    16529.9         68.46    Feasible     3637.89	3-5-7-10-15-6-1-11-14-2-9-8-12-13-4    | 15-10-5-7-3 | 11-1-6 | 8-2-14-9 | 13-12-4 |
 3_15_4_1.0_1.5     25553.8      3889      6195    15469.8       62.9242    Feasible     3636.65	7-8-1-12-11-9-13-6-15-3-10-5-14-2-4    | 1-11-8-12-7-9 | 6-13-15 | 5-10-3 | 14-4-2 |
 4_15_4_1.0_1.5     24987.3      3686      6765    14536.3       68.2554    Feasible     3613.98	15-4-13-6-7-14-12-8-1-3-11-10-9-2-5    | 15-4-13-7-6 | 8-12-1-14 | 3-11 | 5-2-10-9 |
 5_15_4_1.0_1.5     22663.3      3473      6150    13040.3        66.555    Feasible     3617.14	12-7-5-10-13-9-1-3-11-14-2-4-6-15-8    | 12-13-7-10-5 | 1-11-9-3-14 | 4-2 | 8-15-6 |
 1_15_4_1.0_2.0     24662.6      3168      7560    13934.6       65.5543    Feasible     3617.74	4-8-12-6-3-5-9-13-1-7-15-10-2-14-11    | 4-6-8-12 | 3-9-13-5 | 7-1-15 | 11-14-2-10 |
 2_15_4_1.0_2.0     27953.5      3688      7155    17110.5       71.6007    Feasible     3648.62	7-14-15-3-8-10-4-13-2-6-1-12-11-5-9    | 14-7 | 10-15-8-3-4 | 6-13-2-1 | 5-12-9-11 |
 3_15_4_1.0_2.0     29993.8      3752      8445    17796.8       70.3812    Feasible     3621.97	15-6-10-14-3-8-12-11-9-4-13-7-5-2-1    | 14-6-15-10 | 8-3-12 | 13-4-5-9-7-11 | 2-1 |
 4_15_4_1.0_2.0     30460.7      3573     10170    16717.7       55.9395    Feasible     3629.07	14-5-2-13-7-9-3-12-4-1-10-8-15-11-6    | 2-14-5 | 13-3-7-9 | 12-1-10-4 | 6-8-11-15 |
 5_15_4_1.0_2.0     26731.9      3959      6615    16157.9       70.9355    Feasible     3616.96	6-1-4-8-12-11-10-15-7-3-9-14-5-13-2    | 1-8-6-4 | 15-12-10-11-7 | 14-3-9 | 2-13-5 |
 1_15_4_1.0_2.5     32367.5      3872      9960    18535.5       66.5194    Feasible        3623	11-15-2-12-14-4-5-1-10-6-9-8-3-7-13    | 15-12-11-14-2 | 1-5-10-4 | 6-9-8 | 3-13-7 |
 2_15_4_1.0_2.5     23969.6      3164      6675    14130.6       69.6947    Feasible      3661.1	6-9-11-4-2-13-3-8-14-7-15-12-5-10-1    | 4-6-11-9 | 3-8-13-2 | 15-14-7-12 | 5-10-1 |
 3_15_4_1.0_2.5     24423.5      3585      8310    12528.5       64.1944    Feasible     3619.06	6-3-5-11-15-2-14-10-4-1-9-12-7-8-13    | 2-3-6-11-15-5 | 4-1-10-14 | 9-12-7 | 13-8 |
 4_15_4_1.0_2.5     22518.8      3674      5790    13054.8       60.4599    Feasible     3636.64	10-4-7-8-13-1-2-3-6-11-5-12-14-15-9    | 8-4-10-7 | 2-3-1-13 | 12-11-6-5 | 14-9-15 |
