       Instance   Obj_Value     Obj_1     Obj_2      OBj_3  RelativeGap%      Status     CPUtime	Processing_Order    Vehicle_Routes
  4_8_4_1.0_0.5      7873.9      3053      1512     3308.9    0.00536242     Optimal     580.328	3-8-7-5-2-6-1-4    | 3-8 | 5-7 | 2-6 | 4-1 |
  5_8_4_1.0_0.5      9912.4      3196      3160     3556.4    0.00943315     Optimal     246.614	3-4-7-8-2-1-6-5    | 4-3 | 8-7 | 1-2 | 6-5 |
  1_8_4_1.0_1.0      8995.8      2487      2464     4044.8    0.00406383     Optimal      1304.8	5-1-3-2-7-8-6-4    | 3-1-5 | 7-2 | 6-8-4 |
  2_8_4_1.0_1.0      6755.5      2189      1712     2854.5    0.00444083     Optimal     448.677	6-2-4-7-1-3-5-8    | 4-2-6 | 3-1-7 | 5-8 |
  3_8_4_1.0_1.0     10393.4      3009      3856     3528.4     0.0023614     Optimal     526.126	1-4-5-8-2-3-7-6    | 4-1 | 5-8 | 3-2 | 6-7 |
  4_8_4_1.0_1.0      8202.1      2315      2472     3415.1    0.00860829     Optimal     285.745	7-6-4-1-2-8-3-5    | 7-6 | 2-4-1-8 | 5-3 |
  5_8_4_1.0_1.0      9719.9      2540      3432     3747.9    0.00929573     Optimal     2133.61	5-3-7-4-1-8-6-2    | 5-3 | 4-7 | 1- | 8-2-6 |
  1_8_4_1.0_1.5      6114.7      2987      1728     1399.7             0     Optimal     207.296	2-1-5-3-6-4-8-7    | 2-1-5 | 3-6 | 4- | 7-8 |
  2_8_4_1.0_1.5      8813.4      2838      2728     3247.4    0.00975078     Optimal     494.957	7-6-1-4-3-5-2-8    | 6-7 | 4-1 | 3- | 5-8-2 |
  3_8_4_1.0_1.5      6881.7      2249      3128     1504.7             0     Optimal     382.306	3-7-6-5-2-1-8-4    | 3-7-6 | 5-2 | 1- | 4-8 |
  4_8_4_1.0_1.5      8778.8      2413      2408     3957.8     0.0033508     Optimal     362.083	5-8-7-1-6-4-3-2    | 8-5-7 | 1-6 | 3-4 | 2- |
  5_8_4_1.0_1.5      8357.5      2716      3464     2177.5    0.00649287     Optimal     497.439	7-2-1-6-5-8-3-4    | 7-2 | 1-6 | 3-8-5 | 4- |
  1_8_4_1.0_2.0      6673.1      2550      2384     1739.1    0.00317796     Optimal     222.398	2-4-3-6-1-8-5-7    | 3-4-2 | 1-6 | 8-5 | 7- |
  2_8_4_1.0_2.0      8135.6      2548      3200     2387.6             0     Optimal     735.759	4-6-5-7-1-3-2-8    | 4-6 | 5-7 | 3-1 | 8-2 |
  3_8_4_1.0_2.0        7579      2479      3240       1860    0.00710241     Optimal     1224.22	8-2-5-6-3-7-4-1    | 5-8-2 | 3-6 | 7- | 4-1 |
  4_8_4_1.0_2.0      6478.4      2655      2000     1823.4    0.00246114     Optimal     345.987	3-7-1-4-8-6-2-5    | 4-3-7-1 | 8-6 | 2- | 5- |
